Date,Open,High,Low,Close
2013-08-23,6641.24,6693.62,6594.51,6685.37
2013-08-26,6722.81,6762.46,6683.04,6704.61
2013-08-27,6650.33,6650.33,6486.71,6495.66
2013-08-28,6430.56,6507.87,6301.27,6476.55
2013-08-29,6532.38,6621.87,6499.14,6608.59
2013-08-30,6599.43,6687.28,6567.54,6673.96
2013-09-02,6700.73,6785.24,6700.73,6770.03
2013-09-03,6807.68,6808.05,6539.15,6556.56
2013-09-04,6570.85,6679.04,6541.26,6666.98
2013-09-05,6784.66,6848.43,6781.51,6819.39
2013-09-06,6855.82,6913.06,6800.23,6908.13
2013-09-10,6989.39,7131.14,6989.39,7127.7
2013-09-11,7112.8,7181.65,7085.29,7169.63
2013-09-12,7189.16,7198.3,7064.73,7100.07
2013-09-13,7082.88,7146.74,7082.88,7107.02
2013-09-16,7191.66,7220.31,7049.31,7091.17
2013-09-17,7083,7104.22,7049.55,7099.11
2013-09-18,7118.96,7163.81,7093.67,7149.85
2013-09-19,7310.68,7413.62,7304.86,7386.42
2013-09-20,7378.09,7400.37,7191.86,7280.9
2013-09-23,7218.7,7269.67,7141.13,7159.84
2013-09-24,7131.72,7214.73,7128.64,7161.62
2013-09-25,7177.72,7183.23,7079.75,7147.62
2013-09-26,7155.51,7191.27,7139.85,7155.27
2013-09-27,7172.76,7191.46,7104.36,7117.86
2013-09-30,7089.9,7089.9,7005.01,7019.96
2013-10-01,7040.23,7068.65,6978.73,7064.1
2013-10-03,7105.01,7212.26,7096.1,7203.04
2013-10-04,7190.51,7253.64,7184.92,7210.2
2013-10-07,7199.27,7222.72,7142.03,7216.9
2013-10-08,7295.56,7301.61,7226.68,7238.35
2013-10-09,7202.05,7336.23,7193.78,7329.03
2013-10-10,7328.44,7368.22,7315.05,7351.4
2013-10-11,7433.23,7433.23,7383.55,7416.41
2013-10-14,7425.13,7461.84,7414.56,7442.67
2013-10-15,7480.97,7496.6,7376.99,7399.62
2013-10-17,7413.41,7439.79,7349.04,7360.47
2013-10-18,7394.47,7517.9,7394.47,7505.41
2013-10-21,7528.29,7552.26,7501.06,7544.97
2013-10-22,7539.25,7577.57,7535.77,7557.58
2013-10-23,7576.98,7583.78,7469.97,7533.29
2013-10-24,7548.12,7614.96,7500.1,7517.26
2013-10-25,7503.21,7520.66,7470.69,7486.21
2013-10-28,7502.7,7516.81,7422.72,7429.55
2013-10-29,7437.59,7569.05,7406.92,7562.22
2013-10-30,7581.63,7618.03,7568.84,7594.91
2013-10-31,7588.43,7667.42,7586.88,7656.62
2013-11-01,7663.98,7710.4,7660.41,7692.24
2013-11-03,7735.36,7737.66,7714.13,7723.21
2013-11-05,7693.53,7717.75,7644.79,7669.38
2013-11-06,7679.97,7703.11,7626.98,7636.33
2013-11-07,7645.67,7708.74,7571.89,7578.82
2013-11-08,7560.65,7587.45,7515.65,7539.48
2013-11-11,7498.27,7541.12,7458.28,7467.66
2013-11-12,7482.12,7505.99,7390.99,7397.62
2013-11-13,7386.12,7427.05,7348.2,7361.4
2013-11-14,7427.26,7494.14,7427.26,7447.47
2013-11-18,7515.37,7593.21,7515.37,7587.83
2013-11-19,7599.09,7622.84,7578.57,7604.83
2013-11-20,7593.19,7619.03,7511.26,7529.18
2013-11-21,7496.62,7496.62,7373.86,7387.92
2013-11-22,7433.02,7444.19,7360.5,7388.15
2013-11-25,7442.9,7522.66,7442.9,7516.42
2013-11-26,7512.54,7523.95,7449.14,7457.78
2013-11-27,7474.94,7479.16,7427.17,7460.31
2013-11-28,7500.9,7526.82,7481.08,7505.11
2013-11-29,7524.35,7603.8,7524.35,7598.21
2013-12-02,7609.06,7665.12,7609.06,7651.23
2013-12-03,7638.33,7672.22,7628.58,7640.75
2013-12-04,7628.31,7654.53,7582.57,7593.02
2013-12-05,7708.1,7736.61,7659.52,7668.23
2013-12-06,7665.68,7707.77,7660.23,7694.71
2013-12-09,7849.59,7851.31,7780.59,7794.09
2013-12-10,7790.26,7795.19,7729.05,7760.27
2013-12-11,7740.4,7744.37,7697.04,7731.26
2013-12-12,7698.31,7710.06,7654.11,7660.72
2013-12-13,7625.79,7633.84,7566.41,7572.98
2013-12-16,7578.96,7601.2,7558.21,7572.01
2013-12-17,7609.71,7623.74,7559.39,7564.94
2013-12-18,7561.95,7672.19,7561.95,7661.91
2013-12-19,7706.75,7709.34,7600.06,7618.61
2013-12-20,7640.44,7753.42,7629.94,7744.42
2013-12-23,7754.12,7810.51,7754.12,7775.23
2013-12-24,7790.59,7803.28,7759.51,7768.6
2013-12-26,7785.5,7815.75,7768.76,7787.19
2013-12-27,7807.19,7841.98,7807.19,7826.15
2013-12-30,7859.02,7862.72,7788.3,7806.13
2013-12-31,7832.96,7841.45,7804.06,7828.34
2014-01-01,7850.35,7859.6,7834.49,7839.03
2014-01-02,7850.99,7902.67,7713.33,7725.93
2014-01-03,7691.3,7742.55,7676.44,7732.57
2014-01-06,7745.82,7745.82,7700.64,7723.68
2014-01-07,7745.7,7762.43,7671.96,7684.36
2014-01-08,7709.07,7731.85,7688.83,7704.84
2014-01-09,7718.77,7725.46,7662.58,7683.85
2014-01-10,7694.59,7762.84,7651.22,7674.24
2014-01-13,7710.63,7774.47,7710.63,7764.23
2014-01-14,7758.61,7773.29,7724.41,7733.69
2014-01-15,7763.36,7806.89,7762.39,7802.76
2014-01-16,7831.73,7831.73,7773.96,7790.98
2014-01-17,7779.7,7798.58,7697.66,7711.9
2014-01-20,7721.42,7773.98,7696.6,7770
2014-01-21,7788.25,7806.52,7767.09,7784.28
2014-01-22,7783.67,7822.09,7760.56,7809.76
2014-01-23,7799.24,7818.35,7787.77,7807.23
2014-01-24,7766.61,7792.58,7699.72,7701.92
2014-01-27,7611.09,7611.09,7522.64,7528.07
2014-01-28,7534.41,7565.26,7480.7,7521.01
2014-01-29,7557.5,7575.47,7508.83,7519.38
2014-01-30,7458.85,7458.85,7401.2,7445.97
2014-01-31,7465.75,7506.63,7453.9,7499.02
2014-02-03,7481.75,7490.85,7397.29,7405.62
2014-02-04,7333.98,7426.08,7320.93,7413.12
2014-02-05,7427.04,7449.78,7381.79,7440.52
2014-02-06,7456.31,7482.23,7391.61,7455.3
2014-02-07,7498.86,7506.74,7455.97,7487.31
2014-02-10,7507.01,7510.82,7467.38,7473.2
2014-02-11,7496.12,7509.41,7477.96,7486.04
2014-02-12,7519.12,7534.31,7495.63,7502.46
2014-02-13,7513.65,7516.47,7397.27,7408.01
2014-02-14,7439.36,7458.12,7382.47,7450.4
2014-02-17,7471.9,7483.22,7441.66,7470.83
2014-02-18,7472.47,7547.83,7466.08,7533.37
2014-02-19,7542.28,7571.99,7536.82,7566.54
2014-02-20,7539.71,7549.44,7509.96,7513.54
2014-02-21,7538.1,7583.98,7538.1,7578.64
2014-02-24,7573.9,7616.31,7566.43,7611.11
2014-02-25,7639.05,7653.34,7608.3,7629.06
2014-02-26,7637.24,7665.96,7635.29,7661.37
2014-02-28,7674.54,7714.56,7674.54,7709.75
2014-03-03,7704.83,7728.43,7648.69,7658.17
2014-03-04,7665.72,7755.21,7665.54,7751.3
2014-03-05,7785.76,7799.23,7747.38,7789.7
2014-03-06,7814.08,7890.02,7813.61,7886.02
2014-03-07,7908.08,8006.97,7908.08,7994.92
2014-03-10,7970.87,8040.38,7970.39,8017.03
2014-03-11,8024.52,8054.42,7967.92,7984.35
2014-03-12,7976.58,8024.39,7963.07,7988.33
2014-03-13,7976.32,8046.38,7938.36,7956.96
2014-03-14,7910.77,7973.81,7887.07,7960.57
2014-03-18,8001.34,8044.37,7975.39,7997.57
2014-03-19,8017.6,8030.48,7992.98,8012.51
2014-03-20,8000.84,8017.18,7959.42,7969.7
2014-03-21,8003.68,8013.38,7986.11,7991.38
2014-03-22,7996.3,8009.15,7992.8,8003.32
2014-03-24,8036.05,8092.16,8036.05,8085.11
2014-03-25,8054.92,8106.86,8054.92,8101.31
2014-03-26,8136.33,8149.48,8091.93,8118.86
2014-03-27,8137.13,8199.61,8128.4,8170.73
2014-03-28,8204.74,8261.43,8195.97,8255.55
2014-03-31,8285.03,8315.58,8239.26,8295.26
2014-04-01,8318.52,8327.99,8259.32,8309.18
2014-04-02,8350.24,8377.46,8333.76,8372.64
2014-04-03,8386.62,8392.58,8304.91,8348.03
2014-04-04,8356.04,8357.53,8309.89,8316.76
2014-04-07,8319.61,8355.18,8259,8311.83
2014-04-09,8329.33,8444.28,8329.2,8435.71
2014-04-10,8444.81,8486.15,8430.29,8460.38
2014-04-11,8435.61,8460.42,8410.29,8440.95
2014-04-15,8470.78,8484.97,8368.19,8385.59
2014-04-16,8389.68,8412.18,8298.95,8309.41
2014-04-17,8331.19,8435.23,8330.75,8431.71
2014-04-21,8442.77,8498.39,8441.6,8488.17
2014-04-22,8495.73,8521.53,8476.53,8485.31
2014-04-23,8497.73,8536.72,8491.5,8512.09
2014-04-25,8521.66,8536.28,8442.52,8456.05
2014-04-28,8465.69,8470.8,8427.03,8447.91
2014-04-29,8460.91,8476.17,8385.41,8392.19
2014-04-30,8408.28,8467.74,8288.52,8342.15
2014-05-02,8369.45,8400.57,8342.97,8351.53
2014-05-05,8359.42,8400.52,8345.85,8354.28
2014-05-06,8377.01,8406.03,8356.86,8372.72
2014-05-07,8376.36,8384.49,8302.4,8314.02
2014-05-08,8337.13,8356.63,8296.19,8317.85
2014-05-09,8329.58,8542.71,8312.15,8530.8
2014-05-12,8545.86,8697.94,8542.17,8693.55
2014-05-13,8753.53,8888.2,8753.49,8826.61
2014-05-14,8837.78,8879.18,8813.16,8858.52
2014-05-15,8865.66,8916.47,8812.11,8850.32
2014-05-16,8975.69,9330.2,8887.97,8970.17
2014-05-19,9040.53,9151.23,9011.09,9145.53
2014-05-20,9213.23,9241.63,9141.05,9186.39
2014-05-21,9207.02,9221.04,9123.68,9191.92
2014-05-22,9242.94,9317.47,9226.25,9266.21
2014-05-23,9322.83,9410.4,9314.89,9398.36
2014-05-26,9473.64,9578.21,9207.59,9336.72
2014-05-27,9346.8,9355.72,9201.42,9274.11
2014-05-28,9295.76,9318.8,9260.82,9299.81
2014-05-29,9301.5,9303.09,9187.82,9199.11
2014-05-30,9225.44,9255.23,9184.65,9206.01
2014-06-02,9254.33,9385.14,9233.01,9379.45
2014-06-03,9406,9460.62,9369.29,9448.69
2014-06-04,9473.18,9491.23,9449.19,9476.77
2014-06-05,9497.29,9581.16,9438.75,9572.65
2014-06-06,9636.5,9722.03,9626.44,9715.82
2014-06-09,9774.45,9850.72,9774.4,9829.01
2014-06-10,9873.02,9873.68,9717.63,9820.68
